asset_id,event_date,event_id,installed_date,previous_repairs,previous_unplanned
A:cpjwvv,2008-08-30,E:trj6ixh0o9,2008-06-26,0,0
A:cpjwvv,2009-02-06,E:y5bjtvl55l,2008-08-30,0,0
A:cpjwvv,2010-02-07,E:evsbi3vj21,2009-02-06,0,0
A:cpjwvv,2010-02-17,E:njcddphr3b,2010-02-07,0,0
A:cpjwvv,2010-05-18,E:fry99yixfk,2010-02-17,0,0
A:cpjwvv,2010-06-03,E:eku0zyi4cd,2010-05-18,0,0
A:cpjwvv,2010-08-06,E:sv5orf2kc2,2010-06-03,0,0
A:cpjwvv,2010-09-01,E:giwnv8wxjw,2010-08-06,0,0
A:cpjwvv,2010-12-19,E:a8iikd6tuj,2010-09-01,0,0
A:cpjwvv,2011-03-25,E:5eq9g1l9gj,2010-12-19,0,0
A:cpjwvv,2011-07-01,E:q07r3k3ozb,2011-05-06,0,0
A:cpjwvv,2011-07-07,E:fofeca9c2q,2011-07-01,0,0
A:xoauw0,2003-07-26,E:s08alqo9vd,2003-06-08,0,0
A:xoauw0,2003-08-28,E:ws1vyy7oao,2003-07-26,0,0
A:xoauw0,2005-01-18,E:uxv1ak7npw,2004-10-18,0,0
A:xoauw0,2005-02-09,E:3ijuweltm9,2005-01-18,0,0
A:xpqps2,2007-04-26,E:xtynapbja6,2007-03-03,0,0
A:xpqps2,2007-10-03,E:ou4j0c3zu6,2007-04-26,0,0
A:m44bmt,2007-03-26,E:f7vew1qt43,2007-01-17,0,0
A:m44bmt,2007-10-08,E:6bdckn1ae6,2007-03-29,0,0
A:m44bmt,2007-11-07,E:2woc3z6iqu,2007-10-08,0,0
A:rwkyh1,2012-06-24,E:z0nqqemvli,2012-06-03,0,0
A:rwkyh1,2012-07-02,E:oahz9x382x,2012-06-24,0,0
A:rwkyh1,2012-12-15,E:y5m9t3it5p,2012-10-27,0,0
A:tcftxv,2012-06-14,E:0hi00xf7pk,2011-03-24,0,0
A:tcftxv,2012-06-27,E:5gsn7ina2l,2012-06-14,0,0
A:tcftxv,2012-08-22,E:4ntnfuqto4,2012-06-27,0,0
A:tcftxv,2014-08-07,E:w95lez6iki,2014-04-01,0,0
A:tcftxv,2015-02-09,E:3qu7xsdosx,2014-08-07,0,0
A:9vxzhg,2009-10-15,E:pdtdxhgb90,2009-02-06,0,0
A:9vxzhg,2009-10-30,E:1yoarlsdls,2009-10-15,0,0
A:9vxzhg,2009-12-17,E:ndjy7rev2n,2009-10-30,0,0
A:9vxzhg,2010-01-01,E:zxprbc60jl,2009-12-17,0,0
A:9vxzhg,2010-05-03,E:bh7ekbt4wp,2010-01-01,0,0
A:9vxzhg,2010-11-06,E:u5q8rqclqb,2010-07-23,0,0
A:9vxzhg,2010-11-29,E:1dlw83tx3d,2010-11-06,0,0
A:9vxzhg,2012-04-05,E:iv2rmuj1ar,2012-03-13,0,0
A:9vxzhg,2012-04-08,E:1fhwa1a8q7,2012-04-05,0,0
A:9vxzhg,2013-03-30,E:okwuogka7m,2012-10-05,0,0
A:cl0ool,2005-04-22,E:f767ic5t37,2005-04-09,0,0
A:k1vxf4,2005-03-24,E:1e5r4fl0gn,2005-02-21,0,0
A:k1vxf4,2006-07-21,E:4cp7lk4ttv,2006-06-15,0,0
A:k1vxf4,2008-03-07,E:bi456iendf,2008-02-01,0,0
A:k1vxf4,2010-05-25,E:fevb9dhswy,2010-03-30,0,0
A:k1vxf4,2011-12-05,E:2d8vowmifw,2010-05-25,0,0
A:k1vxf4,2012-01-08,E:egptpswd5x,2011-12-05,0,0
A:k1vxf4,2013-06-15,E:cd6e7zeydw,2012-03-22,0,0
A:7n9p1v,2016-11-14,E:phyk7rgi94,2015-10-01,0,0
A:7n9p1v,2017-02-26,E:cseiezm2ee,2016-11-14,0,0
A:klvrkr,2008-05-06,E:ctezqtr01w,2008-01-28,0,0
A:klvrkr,2008-11-09,E:m8g8p57ui0,2008-10-21,0,0
A:klvrkr,2009-09-22,E:57oktk8pn3,2009-08-10,0,0
A:klvrkr,2009-09-25,E:4qzpllwcqu,2009-09-22,0,0
A:klvrkr,2010-02-12,E:7alfw565it,2010-01-06,0,0
A:klvrkr,2010-02-16,E:xz6mv1kie3,2010-02-12,0,0
A:klvrkr,2012-03-06,E:ps6pbv75ko,2010-07-22,0,0
A:klvrkr,2012-03-25,E:fqe93az5n8,2012-03-06,0,0
A:klvrkr,2012-08-03,E:847otk6cg8,2012-03-25,0,0
A:klvrkr,2012-12-06,E:xc4jhe1lnr,2012-09-25,0,0
A:klvrkr,2013-01-25,E:6vtm150c95,2012-12-06,0,0
